col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,mapeo osm estados,mapeo osm municipios,mapeo osm colonia,NUEVO MAPEO OSM,Es el mismo mapeo?
1066,Karanganyar,Jawa Tengah,karanganyar,55,3,,-7.5965874;110.9331307,,lamudi-ID-1066,R9687053,#N/A,R9687053,#N/A,R9687053,TRUE
1067,Kebumen,Jawa Tengah,kebumen,55,3,,-7.6688258;109.609685,,lamudi-ID-1067,R9686815,#N/A,R9686815,#N/A,R9686815,TRUE
1068,Kendal,Jawa Tengah,kendal,55,3,,-6.9823324;110.179281,,lamudi-ID-1068,R9686810,#N/A,R9686810,#N/A,R9686810,TRUE
1069,Klaten,Jawa Tengah,klaten,55,3,,-7.6824905;110.6241256,,lamudi-ID-1069,R9687060,#N/A,R9687060,#N/A,R9687060,TRUE
1070,Kudus,Jawa Tengah,kudus,55,3,,-6.8759685;110.8883303,,lamudi-ID-1070,N262265665,#N/A,R9687057,#N/A,R9687057,FALSE
1071,Magelang,Jawa Tengah,magelang,55,3,,-7.5354943;110.2486137,,lamudi-ID-1071,R9686814,#N/A,"R9686814,R9686811",#N/A,"R9686814,R9686811",FALSE
1072,Pati,Jawa Tengah,pati,55,3,,-6.7977087;111.0273771,,lamudi-ID-1072,R9687058,#N/A,R9687058,#N/A,R9687058,TRUE
1073,Pekalongan,Jawa Tengah,pekalongan,55,3,,-6.9320788;109.6529326,,lamudi-ID-1073,R9686827,#N/A,"R9686827,R9686826",#N/A,"R9686827,R9686826",FALSE
1074,Pemalang,Jawa Tengah,pemalang,55,3,,-6.9506481;109.4079368,,lamudi-ID-1074,R9686818,#N/A,R9686818,#N/A,R9686818,TRUE
1075,Purbalingga,Jawa Tengah,purbalingga,55,3,,-7.3641245;109.4513575,,lamudi-ID-1075,R9686819,#N/A,R9686819,#N/A,R9686819,TRUE
1076,Purworejo,Jawa Tengah,purworejo,55,3,,-7.6825975;109.9801795,,lamudi-ID-1076,R9686809,#N/A,R9686809,#N/A,R9686809,TRUE
1077,Rembang,Jawa Tengah,rembang,55,3,,-6.7483739;111.321252,,lamudi-ID-1077,R9687055,#N/A,R9687055,#N/A,R9687055,TRUE
1078,Salatiga,Jawa Tengah,salatiga,55,3,,-7.3212409;110.3946586,,lamudi-ID-1078,,#N/A,R9686812,#N/A,R9686812,FALSE
1079,Semarang,Jawa Tengah,semarang,55,3,,-7.0624001;110.4039238,,lamudi-ID-1079,R8409116,#N/A,R8409116,#N/A,R8409116,TRUE
1080,Sragen,Jawa Tengah,sragen,55,3,,-7.3706837;110.979847,,lamudi-ID-1080,R6444214,#N/A,R6444214,#N/A,R6444214,TRUE
1081,Sukoharjo,Jawa Tengah,sukoharjo,55,3,,-7.6358906;110.8098335,,lamudi-ID-1081,R9687061,#N/A,R9687061,#N/A,R9687061,TRUE
1082,Solo,Jawa Tengah,surakarta-solo,55,3,,-7.5476693;110.7962802,,lamudi-ID-1082,,#N/A,R9687063,#N/A,R9687063,FALSE
1083,Tegal,Jawa Tengah,tegal,55,3,,-6.9339342;109.1554093,,lamudi-ID-1083,R9686817,#N/A,"R9686817,R9686828",#N/A,"R9686817,R9686828",FALSE
1084,Temanggung,Jawa Tengah,temanggung,55,3,,-7.2861268;110.1691489,,lamudi-ID-1084,R9686823,#N/A,R9686823,#N/A,R9686823,TRUE
1085,Wonogiri,Jawa Tengah,wonogiri,55,3,,-7.8820694;110.9908349,,lamudi-ID-1085,R9687059,#N/A,R9687059,#N/A,R9687059,TRUE
1086,Wonosobo,Jawa Tengah,wonosobo,55,3,,-7.384668;109.9209072,,lamudi-ID-1086,R9686824,#N/A,R9686824,#N/A,R9686824,TRUE
1087,Barito Selatan,Kalimantan Tengah,barito-selatan,56,3,,-1.7021956;114.8755369,,lamudi-ID-1087,R16179702,#N/A,R16179702,#N/A,R16179702,TRUE
1088,Barito Timur,Kalimantan Tengah,barito-timur,56,3,,-2.1166977;115.1666995,,lamudi-ID-1088,R16179703,#N/A,#N/A,#N/A,#N/A,#N/A
1089,Barito Utara,Kalimantan Tengah,barito-utara,56,3,,-0.988333;114.8799709,,lamudi-ID-1089,R16179701,#N/A,R16179701,#N/A,R16179701,TRUE
1090,Gunung Mas,Kalimantan Tengah,gunung-mas,56,3,,-1.3449988;113.908935,,lamudi-ID-1090,R16179708,#N/A,#N/A,#N/A,#N/A,#N/A
1091,Kapuas,Kalimantan Tengah,kapuas,56,3,,-2.9939391;114.348328,,lamudi-ID-1091,R16179704,#N/A,R16179704,#N/A,R16179704,TRUE
