aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name,display_name,search_method
"JABODETABEK","Banten","Tangerang Kabupaten","Rajeg","Rajeg, Kabupaten Tangerang, Banten, Jawa, 15540, Indonesia",""
"","Jawa Tengah","Kudus","Mejobo","Mejobo, Kudus, Jawa Tengah, Jawa, 59322, Indonesia",""
"","Banten","Serang Kabupaten","Kragilan","Kragilan, Kab Serang, Banten, Jawa, 42184, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kabupaten","Kutawaringin","Kutawaringin, Kabupaten Bandung, Jawa Barat, Jawa, 40319, Indonesia",""
"","Sulawesi Selatan","Maros","Moncongloe","Moncongloe, Maros, Sulawesi Selatan, Sulawesi, 90562, Indonesia",""
"","Jawa Tengah","Batang","Tulis","Tulis, Batang, Jawa Tengah, Jawa, 51261, Indonesia",""
"","Jawa Tengah","Pekalongan Kota","Pekalongan Utara","RSUD Kraton Kab. Pekalongan, Jl. Veteran No. 31, Dukuh, Pekalongan Utara, Kota Pekalongan, Jawa Tengah, Jalan Veteran, Kraton Kidul, Pekalongan ꦥꦼꦏꦭꦺꦴꦔꦤ꧀, Jawa Tengah, Jawa, 51117, Indonesia",""
"JABODETABEK","Jawa Barat","Bekasi","Tambun Selatan","Jl. Raya Jatimulya, Jatimulya, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510, Perum. Jatimulya Bekasi, Jatimulya, Bekasi, Kab Bekasi, Jawa Barat, Jawa, 17510, Indonesia",""
"","Jawa Tengah","Purworejo","Kutoarjo","Kutoarjo, Jalan Merpati, Semawung Daleman, Kutoarjo, Purworejo, Jawa Tengah, Jawa, 54212, Indonesia",""
"","Kepulauan Riau","Bintan","Toapaya","Toapaya, Bintan, Kepulauan Riau, Sumatera, Indonesia",""
"","Jawa Barat","Cianjur","Karangtengah","Karangtengah, Cianjur, Jawa Barat, Jawa, 43281, Indonesia",""
"","Jawa Timur","Sumenep","Saronggi","Saronggi, Sumenep, Jawa Timur, Jawa, Indonesia",""
"","Banten","Serang","Walantaka","Walantaka, Serang, Banten, Jawa, Indonesia",""
"","Banten","Serang","Baros","Baros, Kab Serang, Banten, Jawa, Indonesia",""
"","Jawa Timur","Probolinggo Kota","Kanigaran","Kanigaran, Kota Probolinggo, Jawa Timur, Jawa, 67214, Indonesia",""
"","Jawa Tengah","Rembang","Lasem","Lasem, Rembang, Jawa Tengah, Jawa, Indonesia",""
"","Sulawesi Selatan","Bone","Cina","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Cina%2C+Bone%2C+Sulawesi+Selatan","not_found"
"","Kalimantan Tengah","Kotawaringin Timur","Antang Kalang","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Antang+Kalang%2C+Kotawaringin+Timur%2C+Kalimantan+Tengah","not_found"
"","Riau","Kampar","Bangkinang Kota","Bangkinang Kota, Kampar, Riau, Sumatera, 28411, Indonesia",""
"","Jawa Timur","Ngawi","Sine","Sine, Ngawi, Jawa Timur, Jawa, 63263, Indonesia",""
"","Jawa Tengah","Brebes","Banjarharjo","Banjarharjo, Brebes, Jawa Tengah, Jawa, 52264, Indonesia",""
"","Jawa Timur","Tulungagung","Kalidawir","Kalidawir, Tulungagung, Jawa Timur, Jawa, Indonesia",""
"","Riau","Indragiri Hulu","Seberida","Seberida, Indragiri Hulu, Riau, Sumatera, Indonesia",""
"","Jawa Timur","Batu","Junrejo","Junrejo, Kota Batu, Lowokwaru, Jawa Timur, Jawa, 65321, Indonesia",""
"","Jawa Timur","Mojokerto Kabupaten","Pacet","Pacet, Mojokerto, Jawa Timur, Jawa, Indonesia",""
"","Banten","Tangerang Kota","Benda","Benda, Tangerang, Banten, Jawa, Indonesia",""
"","Sumatera Selatan","Palembang","Seberang Ulu I","Seberang Ulu I, Palembang, Sumatera Selatan, Sumatera, Indonesia",""
"","Jawa Timur","Jombang","Gudo","Gudo, Jombang, Jawa Timur, Jawa, 61463, Indonesia",""
"","Jawa Timur","Gresik","Ujungpangkah","Ruas Jalan Golokan - Ujungpangkah, Ketapang Lor, Gresik, Jawa Timur, Jawa, 61153, Indonesia",""
"","Kepulauan Riau","Lingga","Singkep Barat","Kantor Camat Singkep Barat, Lingga, Kepulauan Riau, Sumatera, Indonesia",""
"","Jawa Barat","Garut","Blubur Limbangan","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Blubur+Limbangan%2C+Garut%2C+Jawa+Barat","not_found"
"","Jawa Tengah","Banyumas","Tambak","Tambak, 7, Tambak, Banyumas, Jawa Tengah, Jawa, 53195, Indonesia",""
"","Kalimantan Timur","Berau","Gunung Tabur","Gunung Tabur, Berau, Kalimantan Timur, 77311, Indonesia",""
"","Daerah Istimewa Yogyakarta","Gunung Kidul","Rongkop","Rongkop, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"","Jawa Barat","Indramayu","Sliyeg","Sliyeg, Indramayu, Jawa Barat, Jawa, Indonesia",""
"","Sulawesi Tengah","Parigi Moutong","Parigi","Parigi, Parigi Moutong, Sulawesi Tengah, Sulawesi, 94471, Indonesia",""
"","Jawa Timur","Lumajang","Ranuyoso","Ranuyoso, Lumajang, Jawa Timur, Jawa, Indonesia",""
"","Jawa Tengah","Pati","Cluwak","Cluwak, Pati, Jawa Tengah, Jawa, Indonesia",""
"","Sulawesi Tenggara","Kendari","Kambu","Lorong Kencana Kambu, Bonggoeya, Kendari, Sulawesi Tenggara, Sulawesi, 93117, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kota","Coblong","Coblong, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"JABODETABEK","Jawa Barat","Bekasi Kota","Rawalumbu","Rawalumbu, Bekasi, Jawa Barat, Jawa, 17175, Indonesia",""
"","Daerah Istimewa Yogyakarta","Bantul","Piyungan","Piyungan, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55792, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor Kabupaten","Bojong Gede","Bojong Gede, Bojonggede, Kab Bogor, Jawa Barat, Jawa, 16923, Indonesia",""
"JABODETABEK","Jawa Barat","Depok","Bojongsari","Bojongsari, Depok, Jawa Barat, Jawa, Indonesia",""
"","Jawa Timur","Sidoarjo","Candi","Candi, Sidoarjo, Jawa Timur, Jawa, 61271, Indonesia",""
"JABODETABEK","Banten","Tangerang Kabupaten","Kelapa Dua","Kelapa Dua, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta Pusat","Gambir","Gambir, Jalan Medan Merdeka Timur, RW 02, Gambir, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10110, Indonesia",""
"","Bali","Klungkung","Banjarangkan","Banjarangkan, Klungkung, Bali, Nusa Tenggara, 80716, Indonesia",""
"","Jawa Timur","Pasuruan Kabupaten","Prigen","Prigen, Pasuruan, Jawa Timur, Jawa, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor","Bogor Barat","Bogor Barat, Bogor, Jawa Barat, Jawa, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kabupaten","Margaasih","Margaasih, Kabupaten Bandung, Jawa Barat, Jawa, 40562, Indonesia",""
"","Sulawesi Utara","Minahasa","Tombulu","SMP Negeri 1 Tombulu, Jalan Haji Tumuyu, Desa Suluan, Suluan, Minahasa, Sulawesi Utara, Sulawesi, 95449, Indonesia",""
"JABODETABEK","Jawa Barat","Bekasi Kabupaten","Karang Bahagia","Pesona Karang Bahagia, Karangsentosa, Kab Bekasi, Jawa Barat, Jawa, Indonesia",""
"","Kalimantan Timur","Samarinda","Samarinda Kota","Samarinda Kota, Samarinda, Kalimantan Timur, 75129, Indonesia",""
